tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
46,6,-1.678266,-0.682709,65.1981,114.5904
46,7,-1.642760,-0.708298,98.9421,114.6386
46,11,-1.681726,-0.670880,27.2146,67.7406
46,12,-1.673101,-0.680949,33.4573,80.2270
46,13,-1.661491,-0.694301,40.1037,91.4674
46,14,-1.647873,-0.709228,48.2931,107.5841
46,15,-1.627555,-0.726024,56.7962,107.5845
47,5,-0.915234,0.131446,36.7702,113.9158
47,6,-0.887267,0.107910,65.1981,114.5663
47,7,-0.858250,0.075035,98.9421,114.6386
47,11,-0.898802,0.109660,27.0321,67.7438
47,12,-0.890028,0.100008,33.1322,80.2121
47,13,-0.877537,0.088067,40.2786,91.4670
47,14,-0.863889,0.073584,48.2989,107.5845
47,15,-0.845241,0.057693,57.2441,107.5845
